date,market_location,commodity,min_price_pkr_per_40kg,max_price_pkr_per_40kg,avg_price_pkr_per_40kg,demand_status
1/1/2024,Lahore,Rice,1393,1835,1614,High
1/1/2024,Lahore,Cotton,2213,2592,2402,High
1/1/2024,Multan,Maize,2197,2491,2344,High
1/1/2024,Multan,Sugarcane,2311,2539,2425,High
1/1/2024,Faisalabad,Maize,2023,2465,2244,High
1/1/2024,Karachi,Wheat,2447,2944,2695,High
1/1/2024,Karachi,Vegetables,2186,2979,2582,High
1/1/2024,Peshawar,Wheat,1329,1979,1654,High
1/1/2024,Peshawar,Rice,1394,2090,1742,High
1/1/2024,Quetta,Rice,1899,2585,2242,High
1/1/2024,Quetta,Maize,1413,1719,1566,High
1/1/2024,Quetta,Vegetables,2476,2937,2706,High
1/8/2024,Lahore,Cotton,1436,1801,1618,High
1/8/2024,Multan,Wheat,2034,2647,2340,High
1/8/2024,Faisalabad,Sugarcane,1633,2104,1868,High
1/8/2024,Faisalabad,Cotton,1304,1546,1425,High
1/8/2024,Faisalabad,Vegetables,2032,2432,2232,High
1/8/2024,Karachi,Rice,1459,1972,1715,High
1/8/2024,Karachi,Cotton,1986,2670,2328,High
1/8/2024,Karachi,Vegetables,1201,1643,1422,High
1/8/2024,Peshawar,Rice,1541,2143,1842,High
1/8/2024,Peshawar,Vegetables,2032,2241,2136,High
1/8/2024,Quetta,Wheat,1915,2679,2297,High
1/8/2024,Quetta,Vegetables,2440,2990,2715,High
1/15/2024,Lahore,Vegetables,1492,2038,1765,High
1/15/2024,Multan,Maize,2026,2422,2224,High
1/15/2024,Faisalabad,Rice,1113,1521,1317,High
1/15/2024,Faisalabad,Cotton,1242,1866,1554,High
1/15/2024,Karachi,Maize,2131,2883,2507,High
1/15/2024,Karachi,Sugarcane,2205,2539,2372,High
1/15/2024,Peshawar,Sugarcane,2049,2640,2344,High
1/15/2024,Quetta,Wheat,1603,2303,1953,High
1/15/2024,Quetta,Rice,1035,1240,1137,High
1/15/2024,Quetta,Vegetables,2045,2341,2193,High
1/22/2024,Lahore,Maize,1774,2222,1998,High
1/22/2024,Lahore,Sugarcane,1836,2154,1995,High
1/22/2024,Lahore,Vegetables,2496,3190,2843,High
1/22/2024,Multan,Rice,1144,1418,1281,High
1/22/2024,Multan,Sugarcane,2320,2880,2600,High
1/22/2024,Multan,Cotton,2392,2808,2600,High
1/22/2024,Faisalabad,Wheat,2006,2216,2111,High
1/22/2024,Faisalabad,Cotton,1812,2333,2072,High
1/22/2024,Faisalabad,Vegetables,1849,2068,1958,High
1/22/2024,Karachi,Rice,1736,2437,2086,High
1/22/2024,Peshawar,Rice,1069,1731,1400,High
1/22/2024,Quetta,Wheat,1012,1577,1294,High
1/22/2024,Quetta,Sugarcane,2238,2554,2396,High
